               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.024055,           0.0082873,                   0,                   1,             0.81181,             0.95098,             0.64503,            0.023241,            0.003689,                   0,            0.004555,            0.004555,            0.004555
                 123,            0.029254,           0.0085298,                   0,             0.98171,              0.8125,             0.94222,             0.63438,            0.022998,           0.0036156,                   0,             0.00451,             0.00451,             0.00451
                 124,            0.025858,           0.0081836,                   0,             0.97296,              0.8125,             0.95098,             0.66717,            0.022623,           0.0035615,                   0,            0.004465,            0.004465,            0.004465
                 125,            0.026684,            0.008531,                   0,             0.88119,              0.9375,             0.96327,             0.66307,            0.023804,             0.00346,                   0,             0.00442,             0.00442,             0.00442
                 126,            0.029653,           0.0089636,                   0,             0.93632,             0.91986,               0.948,              0.6408,            0.024175,            0.003458,                   0,            0.004375,            0.004375,            0.004375
                 127,            0.027261,           0.0071114,                   0,             0.92206,              0.8125,             0.94615,             0.63834,             0.02391,           0.0038125,                   0,             0.00433,             0.00433,             0.00433
                 128,            0.027098,           0.0078275,                   0,             0.83206,             0.92936,              0.9493,             0.63202,            0.024398,           0.0038733,                   0,            0.004285,            0.004285,            0.004285
                 129,            0.027497,           0.0091038,                   0,             0.77906,                   1,             0.95541,              0.6616,            0.023813,           0.0035461,                   0,             0.00424,             0.00424,             0.00424
                 130,            0.025132,            0.008269,                   0,             0.91827,              0.8125,             0.95114,             0.64148,             0.02317,           0.0035128,                   0,            0.004195,            0.004195,            0.004195
                 131,            0.028571,           0.0084775,                   0,             0.82085,              0.9375,              0.9495,             0.65731,            0.023638,           0.0037264,                   0,             0.00415,             0.00415,             0.00415
                 132,            0.028245,           0.0077296,                   0,             0.87672,              0.9375,              0.9455,             0.64754,            0.024203,           0.0037257,                   0,            0.004105,            0.004105,            0.004105
                 133,            0.027314,           0.0084967,                   0,             0.87623,              0.9375,             0.94321,             0.65839,            0.023801,           0.0037144,                   0,             0.00406,             0.00406,             0.00406
                 134,            0.027647,           0.0085723,                   0,             0.86736,              0.9375,             0.94374,              0.6325,            0.023622,           0.0037451,                   0,            0.004015,            0.004015,            0.004015
                 135,            0.025819,           0.0073615,                   0,             0.84757,              0.9375,             0.94755,             0.69258,            0.022867,           0.0035722,                   0,             0.00397,             0.00397,             0.00397
                 136,            0.024876,           0.0080308,                   0,             0.93641,             0.92111,             0.95868,             0.70197,            0.022942,           0.0033586,                   0,            0.003925,            0.003925,            0.003925
                 137,            0.025671,           0.0082206,                   0,             0.92359,               0.875,             0.95597,             0.68225,            0.023855,           0.0033285,                   0,             0.00388,             0.00388,             0.00388
                 138,            0.025936,           0.0067652,                   0,             0.87562,              0.9375,              0.9516,             0.67237,            0.022203,            0.003414,                   0,            0.003835,            0.003835,            0.003835
                 139,             0.02329,           0.0068732,                   0,              0.9074,               0.875,             0.94399,             0.66627,            0.021712,           0.0035201,                   0,             0.00379,             0.00379,             0.00379
                 140,            0.025221,           0.0079447,                   0,             0.86969,             0.83517,             0.93558,             0.65437,             0.02231,           0.0035528,                   0,            0.003745,            0.003745,            0.003745
                 141,            0.028003,             0.00819,                   0,             0.88148,              0.9375,              0.9482,             0.68659,            0.021684,           0.0033479,                   0,              0.0037,              0.0037,              0.0037
                 142,            0.025541,           0.0080047,                   0,              0.9617,               0.875,             0.97594,             0.67669,            0.022762,           0.0032885,                   0,            0.003655,            0.003655,            0.003655
                 143,            0.026927,           0.0080729,                   0,             0.86449,              0.9375,             0.96966,             0.66512,            0.022533,           0.0033072,                   0,             0.00361,             0.00361,             0.00361
                 144,            0.026664,           0.0082622,                   0,             0.87132,              0.9375,              0.9666,             0.68318,            0.021969,           0.0032504,                   0,            0.003565,            0.003565,            0.003565
                 145,             0.02482,           0.0071667,                   0,             0.83921,             0.97938,             0.96641,             0.70598,            0.021697,           0.0032851,                   0,             0.00352,             0.00352,             0.00352
                 146,            0.026401,            0.008333,                   0,              0.8245,                   1,             0.94925,              0.6758,            0.021749,            0.003217,                   0,            0.003475,            0.003475,            0.003475
                 147,            0.023321,           0.0079309,                   0,             0.79805,                   1,              0.9523,             0.69201,            0.022861,           0.0032704,                   0,             0.00343,             0.00343,             0.00343
                 148,            0.025083,           0.0072135,                   0,             0.88798,              0.9913,             0.96056,             0.67494,            0.022721,           0.0033445,                   0,            0.003385,            0.003385,            0.003385
                 149,             0.02916,           0.0086239,                   0,             0.87361,              0.9375,             0.95611,             0.67798,            0.022314,           0.0033813,                   0,             0.00334,             0.00334,             0.00334
                 150,             0.02503,           0.0077678,                   0,             0.87424,              0.9375,             0.91818,             0.67328,            0.021519,           0.0034554,                   0,            0.003295,            0.003295,            0.003295
                 151,            0.024069,           0.0078496,                   0,             0.88039,              0.9375,             0.93933,             0.67703,            0.021566,           0.0033479,                   0,             0.00325,             0.00325,             0.00325
                 152,            0.025161,           0.0079984,                   0,             0.82887,                   1,             0.93596,             0.66633,            0.021444,           0.0034353,                   0,            0.003205,            0.003205,            0.003205
                 153,            0.025898,           0.0079927,                   0,              0.8737,             0.86526,             0.92269,             0.66755,            0.021895,           0.0037798,                   0,             0.00316,             0.00316,             0.00316
                 154,            0.023881,            0.007945,                   0,             0.85833,              0.8125,             0.89071,             0.64619,            0.022555,           0.0042484,                   0,            0.003115,            0.003115,            0.003115
                 155,            0.024026,            0.007114,                   0,             0.82457,             0.88165,             0.92267,             0.65847,            0.022822,           0.0042611,                   0,             0.00307,             0.00307,             0.00307
                 156,            0.024008,           0.0078308,                   0,             0.87139,               0.875,             0.92221,             0.67085,             0.02232,           0.0040301,                   0,            0.003025,            0.003025,            0.003025
                 157,            0.024875,           0.0080796,                   0,             0.92002,              0.8125,             0.94901,              0.6945,             0.02208,           0.0038105,                   0,             0.00298,             0.00298,             0.00298
                 158,            0.023803,           0.0071152,                   0,              0.9369,              0.8125,             0.94789,             0.71037,            0.021075,           0.0037965,                   0,            0.002935,            0.002935,            0.002935
                 159,            0.024055,           0.0070755,                   0,             0.90103,              0.8125,             0.93758,             0.67629,            0.022485,           0.0038839,                   0,             0.00289,             0.00289,             0.00289
                 160,            0.023594,           0.0078205,                   0,              0.9034,               0.875,             0.95197,             0.68451,            0.022793,           0.0036042,                   0,            0.002845,            0.002845,            0.002845
                 161,            0.022169,           0.0068068,                   0,             0.88819,             0.99333,             0.95214,             0.68846,            0.022957,           0.0034447,                   0,              0.0028,              0.0028,              0.0028
                 162,            0.023406,           0.0071801,                   0,             0.88777,             0.98931,             0.94338,             0.67713,            0.023064,           0.0033746,                   0,            0.002755,            0.002755,            0.002755
                 163,            0.022867,           0.0067959,                   0,             0.86622,              0.9375,             0.95527,             0.67939,            0.023235,           0.0033646,                   0,             0.00271,             0.00271,             0.00271
                 164,            0.025754,           0.0080843,                   0,              0.9255,               0.875,             0.93741,             0.67057,            0.023032,           0.0033959,                   0,            0.002665,            0.002665,            0.002665
                 165,            0.024494,           0.0077803,                   0,             0.90822,               0.875,             0.93719,             0.64802,            0.023356,           0.0035395,                   0,             0.00262,             0.00262,             0.00262
                 166,            0.024032,           0.0072633,                   0,             0.84734,               0.875,             0.92078,             0.63151,            0.023009,           0.0037571,                   0,            0.002575,            0.002575,            0.002575
                 167,            0.024016,           0.0070052,                   0,             0.81816,               0.875,             0.91667,             0.62073,            0.022918,           0.0038439,                   0,             0.00253,             0.00253,             0.00253
                 168,            0.022834,           0.0074618,                   0,             0.93088,             0.84285,             0.93704,             0.65734,            0.022181,           0.0036136,                   0,            0.002485,            0.002485,            0.002485
